year,ccode
2014,620
2014,625
2014,630
2014,640
2014,645
2014,651
2014,652
2014,660
2014,663
2014,666
2014,670
2014,678
2014,679
2014,680
2014,690
2014,692
2014,694
2014,696
2014,698
2014,700
2014,701
2014,702
2014,703
2014,704
2014,705
2014,710
2014,712
2014,713
2014,730
2014,731
2014,732
2014,740
2014,750
2014,760
2014,770
2014,771
2014,775
2014,780
2014,781
2014,790
2014,800
2014,811
2014,812
2014,816
2014,817
2014,820
2014,830
2014,835
2014,840
2014,850
2014,860
2014,900
2014,910
2014,920
2014,935
2014,940
2014,946
2014,947
2014,950
2014,955
2014,970
2014,983
2014,986
2014,987
2014,990
2015,2
2015,20
2015,31
2015,40
2015,41
2015,42
2015,51
2015,52
2015,53
2015,54
2015,55
2015,56
2015,57
2015,58
2015,60
2015,70
2015,80
2015,90
2015,91
2015,92
2015,93
2015,94
2015,95
2015,100
2015,101
2015,110
2015,115
2015,130
2015,135
2015,140
2015,145
2015,150
2015,155
2015,160
2015,165
2015,200
2015,205
2015,210
2015,211
2015,212
2015,220
2015,221
2015,223
2015,225
2015,230
2015,232
2015,235
2015,240
2015,245
2015,255
2015,260
2015,265
2015,267
2015,269
2015,271
2015,273
2015,275
2015,280
2015,290
2015,300
2015,305
2015,310
2015,315
2015,316
2015,317
2015,325
2015,327
2015,329
2015,331
2015,332
2015,335
2015,337
2015,338
2015,339
2015,343
2015,344
2015,345
2015,346
2015,349
2015,350
2015,352
2015,355
2015,359
2015,360
2015,365
2015,366
2015,367
2015,368
2015,369
2015,370
2015,371
2015,372
2015,373
2015,375
2015,380
2015,385
2015,390
2015,395
2015,402
2015,403
2015,404
2015,411
2015,420
2015,432
2015,433
2015,434
2015,435
2015,436
2015,437
2015,438
2015,439
2015,450
2015,451
2015,452
2015,461
2015,471
2015,475
2015,481
2015,482
2015,483
2015,484
2015,490
2015,500
2015,501
2015,510
2015,511
2015,516
2015,517
2015,520
2015,522
2015,530
2015,531
2015,540
2015,541
2015,551
2015,552
2015,553
2015,560
2015,565
2015,570
2015,571
2015,572
2015,580
2015,581
2015,590
2015,591
2015,600
2015,615
2015,616
2015,620
2015,625
2015,630
2015,640
2015,645
2015,651
2015,652
2015,660
2015,663
2015,666
2015,670
2015,678
2015,679
2015,680
2015,690
2015,692
2015,694
2015,696
2015,698
2015,700
2015,701
2015,702
2015,703
2015,704
2015,705
2015,710
2015,712
2015,713
2015,730
2015,731
2015,732
2015,740
2015,750
2015,760
2015,770
2015,771
2015,775
2015,780
2015,781
2015,790
2015,800
2015,811
2015,812
2015,816
2015,817
2015,820
